internshipID,studentID,date,wasPresent
62,4543,2025-12-28,
62,4543,2025-12-30,
23,4277,2021-05-14,1.0
23,4277,2021-05-14,1.0
21,3478,2020-04-17,1.0
21,3478,2020-04-23,1.0
51,5069,2024-04-26,1.0
51,5069,2024-04-29,1.0
56,7517,2023-12-06,1.0
56,7517,2023-12-05,1.0
26,6230,2024-07-27,1.0
26,6230,2024-07-31,1.0
56,8656,2023-12-01,0.0
56,8656,2023-12-11,1.0
55,1354,2022-02-04,1.0
55,1354,2022-02-04,1.0
98,1629,2020-11-20,0.0
98,1629,2020-11-27,1.0
4,4093,2025-11-10,
4,4093,2025-11-09,
33,5709,2025-07-05,
33,5709,2025-06-25,
51,2633,2024-04-29,1.0
51,2633,2024-04-27,0.0
59,6836,2023-06-02,1.0
59,6836,2023-06-02,1.0
85,8652,2020-11-21,1.0
85,8652,2020-12-03,1.0
39,7485,2021-08-11,1.0
39,7485,2021-08-10,1.0
84,8917,2021-04-30,0.0
84,8917,2021-04-24,0.0
96,9906,2020-06-15,1.0
96,9906,2020-06-20,1.0
70,2601,2023-09-21,1.0
70,2601,2023-09-09,1.0
94,1019,2024-12-07,1.0
94,1019,2024-12-04,1.0
3,2950,2020-11-30,1.0
3,2950,2020-11-21,1.0
5,3913,2020-03-21,1.0
5,3913,2020-03-13,1.0
32,1715,2019-08-24,1.0
32,1715,2019-08-19,1.0
95,7362,2024-08-25,1.0
95,7362,2024-08-26,0.0
84,8733,2021-05-01,1.0
84,8733,2021-05-01,1.0
50,55,2020-12-31,1.0
50,55,2020-12-19,1.0
10,6224,2021-09-15,1.0
10,6224,2021-09-21,1.0
10,595,2021-09-18,1.0
10,595,2021-09-19,1.0
76,8664,2021-06-24,1.0
76,8664,2021-06-25,1.0
4,9647,2025-11-03,
4,9647,2025-11-04,
99,2879,2021-10-16,1.0
99,2879,2021-10-19,1.0
76,4366,2021-06-26,1.0
76,4366,2021-06-23,1.0
41,8736,2023-08-23,1.0
41,8736,2023-08-20,0.0
88,3845,2025-03-04,
88,3845,2025-03-01,
77,5820,2023-07-30,1.0
77,5820,2023-07-30,0.0
23,7515,2021-05-24,1.0
23,7515,2021-05-14,1.0
29,111,2025-12-28,
29,111,2025-12-29,
83,3784,2020-04-17,1.0
83,3784,2020-04-12,1.0
59,1833,2023-05-25,1.0
59,1833,2023-05-24,1.0
43,3416,2024-09-10,1.0
43,3416,2024-09-13,1.0
56,2166,2023-11-29,0.0
56,2166,2023-12-07,1.0
0,8005,2024-04-02,1.0
0,8005,2024-04-04,1.0
36,6888,2025-11-07,
36,6888,2025-11-11,
9,3137,2021-05-12,1.0
9,3137,2021-05-05,0.0
83,2550,2020-04-17,1.0
83,2550,2020-04-11,1.0
57,8701,2022-02-21,1.0
57,8701,2022-02-15,1.0
2,9003,2019-06-04,1.0
2,9003,2019-06-06,0.0
99,1706,2021-10-14,1.0
99,1706,2021-10-15,1.0
44,2655,2024-04-06,1.0
44,2655,2024-04-12,1.0
63,8278,2024-05-16,1.0
63,8278,2024-05-11,1.0
41,5258,2023-08-22,1.0
41,5258,2023-08-27,1.0
55,9916,2022-02-10,0.0
55,9916,2022-02-04,1.0
87,8875,2020-05-14,1.0
87,8875,2020-05-19,1.0
75,1072,2021-06-26,1.0
75,1072,2021-06-24,1.0
94,4788,2024-12-03,1.0
94,4788,2024-11-29,1.0
46,5970,2022-09-21,1.0
46,5970,2022-09-14,1.0
97,8805,2021-07-19,1.0
97,8805,2021-07-18,1.0
48,1506,2022-10-07,1.0
48,1506,2022-10-02,1.0
28,3628,2025-01-06,1.0
28,3628,2025-01-13,1.0
44,5457,2024-04-12,0.0
44,5457,2024-04-11,1.0
83,7641,2020-04-11,1.0
83,7641,2020-04-04,1.0
62,2593,2025-12-21,
62,2593,2025-12-25,
11,9880,2024-11-27,1.0
11,9880,2024-11-27,1.0
4,3649,2025-11-05,
4,3649,2025-10-31,
70,4117,2023-09-10,1.0
70,4117,2023-09-19,1.0
31,4951,2022-12-03,1.0
31,4951,2022-12-11,1.0
86,8287,2025-05-20,
86,8287,2025-05-28,
63,7357,2024-05-14,0.0
63,7357,2024-05-15,1.0
28,1849,2025-01-10,1.0
28,1849,2025-01-01,1.0
61,7288,2025-10-29,
61,7288,2025-10-17,
28,4687,2025-01-05,0.0
28,4687,2025-01-04,1.0
5,1737,2020-03-15,1.0
5,1737,2020-03-09,1.0
56,204,2023-12-10,1.0
56,204,2023-11-30,1.0
79,921,2025-11-08,
79,921,2025-11-07,
5,8335,2020-03-18,1.0
5,8335,2020-03-10,0.0
95,4965,2024-08-18,1.0
95,4965,2024-08-21,1.0
31,924,2022-12-13,1.0
31,924,2022-12-09,1.0
13,6319,2023-01-27,1.0
13,6319,2023-01-28,1.0
3,6719,2020-11-23,1.0
3,6719,2020-12-01,1.0
7,9553,2025-05-31,
7,9553,2025-06-06,
46,7487,2022-09-25,1.0
46,7487,2022-09-13,1.0
39,897,2021-08-20,1.0
39,897,2021-08-10,1.0
81,7934,2022-09-08,1.0
81,7934,2022-09-12,0.0
32,1777,2019-08-23,1.0
32,1777,2019-08-26,1.0
91,2600,2019-06-29,1.0
91,2600,2019-07-11,1.0
2,1153,2019-05-31,1.0
2,1153,2019-05-31,1.0
81,922,2022-09-13,1.0
81,922,2022-09-11,1.0
31,8977,2022-12-13,1.0
31,8977,2022-12-12,1.0
70,1861,2023-09-17,1.0
70,1861,2023-09-19,1.0
15,7924,2020-02-01,1.0
15,7924,2020-01-27,1.0
50,5261,2020-12-30,1.0
50,5261,2020-12-22,1.0
66,5309,2020-12-24,1.0
66,5309,2020-12-14,0.0
65,5559,2023-05-27,1.0
65,5559,2023-05-27,0.0
29,129,2025-12-25,
29,129,2025-12-21,
2,7009,2019-05-31,1.0
2,7009,2019-06-07,1.0
95,139,2024-08-18,1.0
95,139,2024-08-25,1.0
86,9993,2025-05-24,
86,9993,2025-05-15,
57,6995,2022-02-22,1.0
57,6995,2022-02-22,1.0
20,8081,2020-05-31,1.0
20,8081,2020-06-02,1.0
78,6064,2020-01-26,1.0
78,6064,2020-01-28,1.0
45,2789,2024-03-15,1.0
45,2789,2024-03-19,1.0
16,4338,2022-03-30,0.0
16,4338,2022-04-01,1.0
33,2997,2025-06-26,
33,2997,2025-07-07,
85,7001,2020-11-28,1.0
85,7001,2020-11-23,1.0
4,9782,2025-10-31,
4,9782,2025-10-30,
73,7757,2024-07-16,1.0
73,7757,2024-07-14,1.0
72,6009,2020-05-03,1.0
72,6009,2020-04-27,0.0
67,5247,2019-04-28,1.0
67,5247,2019-04-23,1.0
90,4044,2022-04-08,1.0
90,4044,2022-04-11,1.0
26,6049,2024-07-24,1.0
26,6049,2024-08-01,1.0
44,8232,2024-03-30,1.0
44,8232,2024-04-02,1.0
21,3431,2020-04-23,1.0
21,3431,2020-04-20,1.0
89,1274,2023-01-29,1.0
89,1274,2023-01-30,1.0
87,4705,2020-05-12,1.0
87,4705,2020-05-21,1.0
95,1349,2024-08-20,0.0
95,1349,2024-08-13,0.0
48,8911,2022-10-02,1.0
48,8911,2022-10-03,1.0
64,4104,2023-05-22,1.0
64,4104,2023-05-26,0.0
17,976,2025-12-22,
17,976,2025-12-16,
53,6562,2022-02-04,1.0
53,6562,2022-02-04,0.0
21,3919,2020-04-22,1.0
21,3919,2020-04-19,1.0
69,5500,2024-08-24,1.0
69,5500,2024-08-28,1.0
29,7552,2025-12-23,
29,7552,2025-12-25,
5,3246,2020-03-21,1.0
5,3246,2020-03-10,1.0
90,5265,2022-04-08,1.0
90,5265,2022-04-09,1.0
95,9650,2024-08-14,1.0
95,9650,2024-08-19,0.0
68,9298,2023-11-15,0.0
68,9298,2023-11-20,1.0
91,4092,2019-07-10,1.0
91,4092,2019-07-04,1.0
0,5216,2024-03-30,1.0
0,5216,2024-03-29,1.0
48,9202,2022-09-27,0.0
