meetingID,participantID,wasPresent
1472,4543,1
1472,8656,1
1472,9916,1
1472,5258,1
1472,6230,1
1472,2593,1
1472,7485,1
1472,3628,1
1472,1629,1
1472,5069,1
1472,1019,1
1472,8977,1
1472,1706,1
1472,8278,1
1472,1833,1
1472,2601,0
1472,7641,1
1472,3416,1
1472,9880,1
1472,1506,1
1472,2655,1
1472,2550,1
1472,8005,1
1472,8875,1
1472,1153,1
1472,7934,1
1472,3784,1
1472,1715,1
1472,2950,1
1472,922,1
1472,1354,1
1472,3913,1
1472,6888,1
1472,7288,1
1472,8736,0
1472,3845,1
1472,8287,0
1472,6319,1
1472,7357,1
1472,9553,0
1472,55,0
1472,204,1
1472,4965,1
1472,8664,1
1472,6224,1
1472,924,1
1472,595,1
1472,6719,1
1472,897,1
1472,7487,1
1472,8733,1
1472,1777,1
1472,5970,1
1472,3137,1
1472,1072,1
1472,7362,1
1472,4951,1
1472,4117,1
1472,2600,0
1472,111,0
1472,7515,1
1472,5820,1
1472,3649,1
1472,8335,1
1472,9647,1
1472,8805,1
1472,2166,1
1472,5457,1
1472,3478,1
1472,6836,1
1472,8701,1
1472,9003,1
1472,9906,1
1472,8917,0
1472,4093,1
1472,8652,1
1472,5709,1
1472,2633,1
1472,7517,1
1472,4277,1
1472,1849,1
1472,4366,1
1472,2879,1
1472,4687,1
1472,1737,1
1472,921,1
1472,4788,1
1691,4543,1
1691,8656,1
1691,9916,0
1691,5258,1
1691,6230,1
1691,2593,1
1691,7485,1
1691,3628,1
1691,1629,1
1691,5069,1
1691,1019,1
1691,8977,1
1691,1706,1
1691,8278,1
1691,1833,0
1691,2601,0
1691,7641,1
1691,3416,1
1691,9880,1
1691,1506,1
1691,2655,1
1691,2550,1
1691,8005,1
1691,8875,1
1691,1153,1
1691,7934,1
1691,3784,0
1691,1715,1
1691,2950,1
1691,922,1
1691,1354,1
1691,3913,1
1691,6888,0
1691,7288,1
1691,8736,0
1691,3845,1
1691,8287,1
1691,6319,1
1691,7357,1
1691,9553,1
1691,55,1
1691,204,1
1691,4965,0
1691,8664,0
1691,6224,1
1691,924,1
1691,595,1
1691,6719,1
1691,897,0
1691,7487,1
1691,8733,1
1691,1777,1
1691,5970,1
1691,3137,1
1691,1072,1
1691,7362,1
1691,4951,1
1691,4117,1
1691,2600,1
1691,111,1
1691,7515,1
1691,5820,1
1691,3649,0
1691,8335,1
1691,9647,1
1691,8805,1
1691,2166,1
1691,5457,1
1691,3478,1
1691,6836,1
1691,8701,1
1691,9003,1
1691,9906,1
1691,8917,1
1691,4093,1
1691,8652,1
1691,5709,1
1691,2633,1
1691,7517,1
1691,4277,1
1691,1849,1
1691,4366,1
1691,2879,1
1691,4687,1
1691,1737,1
1691,921,1
1691,4788,1
27,4543,1
27,8656,1
27,9916,1
27,5258,1
27,6230,1
27,2593,0
27,7485,0
27,3628,1
27,1629,1
27,5069,1
27,1019,1
27,8977,1
27,1706,1
27,8278,1
27,1833,1
27,2601,0
27,7641,1
27,3416,1
27,9880,1
27,1506,1
27,2655,1
27,2550,1
27,8005,1
27,8875,1
27,1153,1
27,7934,1
27,3784,0
27,1715,1
27,2950,1
27,922,1
27,1354,1
27,3913,1
27,6888,1
27,7288,1
27,8736,1
27,3845,1
27,8287,1
27,6319,1
27,7357,1
27,9553,1
27,55,1
27,204,1
27,4965,1
27,8664,1
27,6224,1
27,924,1
27,595,1
27,6719,1
27,897,1
27,7487,0
27,8733,1
27,1777,1
27,5970,1
27,3137,1
27,1072,1
27,7362,1
27,4951,1
27,4117,1
27,2600,1
27,111,1
27,7515,0
27,5820,1
27,3649,1
27,8335,1
27,9647,1
27,8805,1
27,2166,1
27,5457,1
27,3478,1
27,6836,1
27,8701,1
27,9003,1
27,9906,1
27,8917,1
27,4093,1
27,8652,1
27,5709,1
27,2633,1
27,7517,1
27,4277,1
27,1849,1
27,4366,1
27,2879,1
27,4687,1
27,1737,1
27,921,1
27,4788,1
1971,4543,1
1971,8656,1
1971,9916,1
1971,5258,1
1971,6230,1
1971,2593,1
1971,7485,1
1971,3628,1
1971,1629,1
1971,5069,1
1971,1019,1
1971,8977,1
1971,1706,1
1971,8278,1
1971,1833,0
1971,2601,0
1971,7641,1
1971,3416,1
1971,9880,1
1971,1506,1
1971,2655,1
1971,2550,1
1971,8005,1
1971,8875,1
1971,1153,1
1971,7934,1
1971,3784,1
1971,1715,0
1971,2950,1
1971,922,1
1971,1354,1
1971,3913,1
1971,6888,1
1971,7288,1
1971,8736,1
1971,3845,1
1971,8287,0
1971,6319,1
1971,7357,1
1971,9553,1
1971,55,1
1971,204,1
1971,4965,1
1971,8664,1
1971,6224,1
1971,924,1
1971,595,1
1971,6719,1
1971,897,1
1971,7487,1
1971,8733,1
1971,1777,1
1971,5970,1
1971,3137,1
1971,1072,1
1971,7362,1
1971,4951,1
1971,4117,1
1971,2600,1
1971,111,0
1971,7515,1
1971,5820,1
1971,3649,1
1971,8335,1
1971,9647,1
1971,8805,0
1971,2166,1
1971,5457,1
1971,3478,1
1971,6836,1
1971,8701,1
1971,9003,1
1971,9906,1
1971,8917,1
1971,4093,1
1971,8652,1
1971,5709,1
1971,2633,1
1971,7517,1
1971,4277,1
1971,1849,1
1971,4366,1
1971,2879,1
1971,4687,1
1971,1737,1
1971,921,1
1971,4788,1
1894,4543,1
1894,8656,1
1894,9916,1
1894,5258,1
1894,6230,1
1894,2593,1
1894,7485,1
1894,3628,1
1894,1629,0
1894,5069,0
1894,1019,1
1894,8977,1
1894,1706,1
1894,8278,1
1894,1833,1
1894,2601,1
1894,7641,1
1894,3416,1
1894,9880,0
1894,1506,1
1894,2655,1
1894,2550,1
1894,8005,0
1894,8875,1
1894,1153,1
1894,7934,1
1894,3784,1
1894,1715,1
1894,2950,1
1894,922,1
1894,1354,1
1894,3913,1
1894,6888,1
1894,7288,1
1894,8736,0
1894,3845,0
1894,8287,1
1894,6319,0
1894,7357,1
1894,9553,1
1894,55,1
1894,204,1
1894,4965,1
1894,8664,1
1894,6224,1
1894,924,1
1894,595,0
1894,6719,1
1894,897,1
1894,7487,0
1894,8733,1
1894,1777,1
1894,5970,1
1894,3137,1
1894,1072,1
1894,7362,1
1894,4951,1
1894,4117,1
1894,2600,0
1894,111,1
1894,7515,1
1894,5820,1
1894,3649,1
1894,8335,1
1894,9647,1
1894,8805,1
1894,2166,1
1894,5457,1
1894,3478,1
1894,6836,1
1894,8701,1
1894,9003,1
1894,9906,1
1894,8917,1
1894,4093,1
1894,8652,1
1894,5709,1
1894,2633,1
1894,7517,0
1894,4277,1
1894,1849,1
1894,4366,0
1894,2879,1
1894,4687,1
1894,1737,1
1894,921,1
1894,4788,1
3813,2600,0
3813,4093,0
3813,3913,1
3813,8005,1
3813,2166,1
3813,1019,1
3813,2950,1
3813,1153,1
3813,9916,1
3813,4965,1
3813,1506,1
3813,3416,1
3813,1833,1
3813,6319,1
3813,897,1
3813,9553,1
3813,6719,1
3813,1072,1
3813,7517,1
3813,7485,1
3813,8656,1
3813,8875,1
3813,6888,1
3813,8977,1
3813,922,1
3813,1354,1
3813,4277,1
3813,2655,1
3813,2550,1
3813,5709,1
3813,3478,1
3813,9003,1
3813,8278,1
3813,5258,1
3813,3137,1
3813,8917,1
3813,2601,1
3813,9906,1
3813,6230,1
3813,8652,1
3813,5069,1
3813,9647,1
3813,5457,1
3813,3784,1
3813,7641,1
3813,921,1
3813,4687,0
3813,204,1
3813,8664,1
3813,3628,1
3813,8805,0
3813,55,1
3813,8733,1
3813,924,1
3813,6224,1
3813,595,1
3813,8335,1
3813,1715,1
3813,7362,1
3813,5970,1
3813,4788,1
3813,7487,1
3813,1777,0
3813,7934,1
3813,1849,1
3813,8287,1
3813,2593,1
3813,111,1
3813,7515,1
3813,4366,1
3813,1737,1
3813,2879,1
3813,7288,1
3813,4951,1
3813,5820,1
3813,3649,1
3813,9880,1
3813,3845,1
3813,7357,1
3813,8736,1
3813,8701,1
3813,2633,1
3813,1706,1
3813,4117,1
3813,4543,1
3813,6836,1
3813,1629,1
1622,5709,1
1622,6836,1
1622,3845,1
1622,3478,1
1622,3649,1
1622,2633,1
1622,9880,1
1622,5820,1
1622,8287,1
1622,8736,1
1622,6230,1
1622,4366,1
1622,2601,1
1622,8917,1
1622,9906,1
1622,4093,0
1622,8656,1
1622,8652,0
1622,111,1
1622,5069,1
1622,7485,1
1622,1354,0
1622,2879,1
1622,7288,1
1622,1849,1
1622,4951,1
1622,7515,1
1622,2593,1
1622,3137,1
1622,7357,1
1622,5258,1
1622,8278,1
1622,9916,1
1622,1153,1
1622,2950,1
1622,1019,1
1622,595,0
1622,924,1
1622,8335,1
1622,922,1
1622,2166,1
1622,6224,1
1622,3628,1
1622,1506,1
1622,3913,0
1622,1072,1
1622,2600,1
1622,55,1
1622,8977,1
1622,8875,1
1622,3784,1
1622,8005,1
1622,4687,1
1622,921,1
1622,204,1
1622,8664,1
1622,1737,1
1622,9647,1
1622,7641,1
1622,5457,1
1622,4543,1
1622,1629,1
1622,6888,1
1622,7517,1
1622,1833,1
1622,1715,1
1622,4788,1
1622,7362,1
1622,6719,1
1622,9553,1
1622,3416,0
1622,5970,0
1622,1777,1
1622,1706,1
1622,4277,1
1622,8701,1
1622,2655,1
1622,9003,1
1622,2550,1
1622,4117,1
1622,7934,1
1622,6319,0
1622,4965,1
1622,8733,1
1622,897,1
1622,7487,1
1622,8805,1
2749,5709,1
2749,6836,1
2749,3845,1
2749,3478,1
2749,3649,0
2749,2633,1
2749,9880,1
2749,5820,1
2749,8287,1
2749,8736,1
2749,6230,1
2749,4366,1
2749,2601,1
2749,8917,0
2749,9906,1
2749,4093,1
2749,8656,1
2749,8652,1
2749,111,1
2749,5069,1
2749,7485,1
2749,1354,1
2749,2879,0
2749,7288,1
2749,1849,0
2749,4951,1
2749,7515,1
2749,2593,1
2749,3137,1
2749,7357,1
2749,5258,1
2749,8278,1
2749,9916,1
2749,1153,1
2749,2950,1
2749,1019,1
2749,595,1
2749,924,1
2749,8335,1
2749,922,0
2749,2166,0
2749,6224,1
2749,3628,1
2749,1506,1
2749,3913,1
2749,1072,1
2749,2600,1
2749,55,1
2749,8977,1
2749,8875,0
2749,3784,1
2749,8005,1
2749,4687,1
2749,921,1
2749,204,1
2749,8664,1
2749,1737,1
2749,9647,1
2749,7641,1
2749,5457,1
2749,4543,0
2749,1629,1
2749,6888,1
2749,7517,1
2749,1833,1
2749,1715,1
2749,4788,1
2749,7362,1
2749,6719,1
2749,9553,1
2749,3416,0
2749,5970,1
2749,1777,1
2749,1706,1
2749,4277,1
2749,8701,1
2749,2655,1
2749,9003,1
2749,2550,1
2749,4117,1
2749,7934,1
2749,6319,1
2749,4965,1
2749,8733,1
2749,897,1
2749,7487,1
2749,8805,1
435,5709,1
435,6836,1
435,3845,1
435,3478,1
435,3649,1
435,2633,1
435,9880,0
435,5820,1
435,8287,1
435,8736,1
435,6230,1
435,4366,1
435,2601,0
435,8917,1
435,9906,1
435,4093,1
435,8656,1
435,8652,1
435,111,1
435,5069,1
435,7485,1
435,1354,1
435,2879,1
435,7288,1
435,1849,1
435,4951,1
435,7515,1
435,2593,1
435,3137,1
435,7357,1
435,5258,1
435,8278,1
435,9916,1
435,1153,1
435,2950,1
435,1019,1
435,595,1
435,924,0
435,8335,1
435,922,1
435,2166,0
435,6224,0
435,3628,0
435,1506,1
435,3913,1
435,1072,0
435,2600,1
435,55,1
435,8977,1
435,8875,1
435,3784,0
435,8005,1
435,4687,1
435,921,1
435,204,1
435,8664,1
435,1737,1
435,9647,1
435,7641,1
435,5457,1
435,4543,1
435,1629,1
435,6888,1
435,7517,0
435,1833,1
435,1715,1
435,4788,1
435,7362,1
435,6719,1
435,9553,1
435,3416,1
435,5970,1
435,1777,1
435,1706,1
435,4277,0
435,8701,0
435,2655,1
435,9003,1
435,2550,1
435,4117,1
435,7934,1
435,6319,1
435,4965,1
435,8733,0
435,897,1
435,7487,1
435,8805,1
659,5709,1
659,6836,1
659,3845,1
659,3478,1
659,3649,1
659,2633,1
659,9880,1
659,5820,1
659,8287,1
659,8736,1
659,6230,1
659,4366,1
659,2601,1
659,8917,1
659,9906,1
659,4093,1
659,8656,1
659,8652,1
659,111,1
659,5069,1
659,7485,1
659,1354,1
659,2879,1
659,7288,1
659,1849,1
659,4951,1
659,7515,1
659,2593,0
659,3137,1
659,7357,1
659,5258,1
659,8278,1
659,9916,1
659,1153,1
659,2950,1
659,1019,1
659,595,1
659,924,1
659,8335,1
659,922,1
659,2166,1
659,6224,1
659,3628,1
659,1506,1
659,3913,1
659,1072,1
659,2600,1
659,55,0
659,8977,0
659,8875,0
659,3784,0
659,8005,0
659,4687,0
659,921,1
659,204,1
659,8664,1
659,1737,1
659,9647,1
659,7641,1
659,5457,1
659,4543,1
659,1629,1
659,6888,1
659,7517,1
659,1833,1
659,1715,1
659,4788,1
659,7362,0
659,6719,1
659,9553,1
659,3416,1
659,5970,1
659,1777,1
659,1706,1
659,4277,1
659,8701,0
659,2655,1
659,9003,1
659,2550,1
659,4117,1
659,7934,1
659,6319,1
659,4965,1
659,8733,1
659,897,1
659,7487,1
659,8805,1
974,5709,1
974,6836,1
974,3845,1
974,3478,1
974,3649,1
974,2633,1
974,9880,1
974,5820,1
974,8287,1
974,8736,1
974,6230,1
974,4366,1
974,2601,1
974,8917,1
974,9906,1
974,4093,0
974,8656,1
974,8652,1
974,111,1
974,5069,1
974,7485,1
974,1354,0
974,2879,1
974,7288,1
974,1849,1
974,4951,1
974,7515,1
974,2593,0
974,3137,1
974,7357,1
974,5258,1
974,8278,1
974,9916,1
974,1153,1
974,2950,1
974,1019,1
974,595,1
974,924,1
974,8335,0
974,922,1
974,2166,1
974,6224,1
974,3628,1
974,1506,1
974,3913,1
974,1072,1
974,2600,1
974,55,1
974,8977,1
974,8875,1
974,3784,1
974,8005,1
974,4687,1
974,921,1
974,204,1
974,8664,1
974,1737,1
974,9647,1
974,7641,1
974,5457,1
974,4543,1
974,1629,1
974,6888,1
974,7517,1
974,1833,1
974,1715,1
974,4788,1
974,7362,1
974,6719,1
974,9553,1
974,3416,1
974,5970,1
974,1777,0
974,1706,1
974,4277,1
974,8701,1
974,2655,1
974,9003,1
974,2550,1
974,4117,1
974,7934,0
974,6319,0
974,4965,1
974,8733,0
974,897,1
974,7487,0
974,8805,1
1721,5709,1
1721,6836,1
1721,3845,1
1721,3478,1
1721,3649,1
1721,2633,1
1721,9880,1
1721,5820,1
1721,8287,1
1721,8736,1
1721,6230,1
1721,4366,0
1721,2601,1
1721,8917,0
1721,9906,1
1721,4093,1
1721,8656,1
1721,8652,1
1721,111,1
1721,5069,1
1721,7485,1
1721,1354,0
1721,2879,1
1721,7288,1
1721,1849,1
1721,4951,1
1721,7515,1
1721,2593,1
1721,3137,1
1721,7357,1
1721,5258,1
1721,8278,0
1721,9916,1
1721,1153,1
1721,2950,0
1721,1019,1
1721,595,1
1721,924,1
1721,8335,1
1721,922,1
1721,2166,1
1721,6224,1
1721,3628,1
1721,1506,1
1721,3913,1
1721,1072,1
1721,2600,1
1721,55,1
1721,8977,1
1721,8875,1
1721,3784,1
1721,8005,1
1721,4687,1
1721,921,0
1721,204,1
1721,8664,1
1721,1737,1
1721,9647,1
1721,7641,1
1721,5457,1
1721,4543,0
1721,1629,1
1721,6888,1
1721,7517,1
1721,1833,1
1721,1715,1
1721,4788,1
1721,7362,1
1721,6719,1
1721,9553,1
1721,3416,1
1721,5970,1
1721,1777,1
1721,1706,0
1721,4277,1
1721,8701,1
1721,2655,1
1721,9003,1
1721,2550,1
1721,4117,1
1721,7934,1
1721,6319,1
1721,4965,1
1721,8733,1
1721,897,1
1721,7487,1
1721,8805,1
2691,5709,1
2691,6836,1
2691,3845,1
2691,3478,1
2691,3649,1
2691,2633,1
2691,9880,0
2691,5820,1
2691,8287,1
2691,8736,1
2691,6230,1
2691,4366,1
2691,2601,1
2691,8917,0
2691,9906,1
2691,4093,1
2691,8656,1
2691,8652,1
2691,111,1
2691,5069,1
2691,7485,1
2691,1354,1
2691,2879,1
2691,7288,0
2691,1849,1
2691,4951,0
2691,7515,1
2691,2593,1
2691,3137,1
2691,7357,1
2691,5258,0
2691,8278,1
2691,9916,1
2691,1153,0
2691,2950,1
2691,1019,1
2691,595,1
2691,924,1
2691,8335,1
2691,922,0
2691,2166,1
2691,6224,1
2691,3628,1
2691,1506,1
2691,3913,1
2691,1072,1
2691,2600,1
2691,55,1
2691,8977,1
2691,8875,1
2691,3784,1
2691,8005,1
2691,4687,1
2691,921,1
2691,204,1
2691,8664,1
2691,1737,1
2691,9647,1
2691,7641,0
2691,5457,1
2691,4543,1
2691,1629,1
2691,6888,1
2691,7517,1
2691,1833,1
2691,1715,1
2691,4788,1
2691,7362,1
2691,6719,1
2691,9553,0
2691,3416,1
2691,5970,1
2691,1777,1
2691,1706,1
2691,4277,1
2691,8701,1
2691,2655,1
2691,9003,1
2691,2550,1
2691,4117,1
2691,7934,1
2691,6319,1
2691,4965,1
2691,8733,1
2691,897,1
2691,7487,1
2691,8805,1
2800,5709,1
2800,6836,1
2800,3845,1
2800,3478,1
2800,3649,1
2800,2633,1
2800,9880,1
2800,5820,0
2800,8287,1
2800,8736,1
2800,6230,1
2800,4366,1
2800,2601,1
2800,8917,1
2800,9906,1
2800,4093,1
2800,8656,1
2800,8652,1
2800,111,1
2800,5069,1
2800,7485,1
2800,1354,1
2800,2879,1
2800,7288,1
2800,1849,1
2800,4951,1
2800,7515,1
2800,2593,1
2800,3137,1
2800,7357,1
2800,5258,1
2800,8278,1
2800,9916,1
2800,1153,1
2800,2950,0
2800,1019,1
2800,595,1
2800,924,1
2800,8335,1
2800,922,1
2800,2166,0
2800,6224,1
2800,3628,1
2800,1506,1
2800,3913,1
2800,1072,1
2800,2600,1
2800,55,1
2800,8977,1
2800,8875,1
2800,3784,1
2800,8005,1
2800,4687,1
2800,921,0
2800,204,1
2800,8664,0
2800,1737,1
2800,9647,1
2800,7641,1
2800,5457,1
2800,4543,1
2800,1629,1
2800,6888,1
2800,7517,1
2800,1833,1
2800,1715,1
2800,4788,1
2800,7362,1
2800,6719,0
2800,9553,1
2800,3416,1
2800,5970,1
2800,1777,1
2800,1706,1
2800,4277,0
2800,8701,1
2800,2655,1
2800,9003,1
2800,2550,1
2800,4117,1
2800,7934,1
2800,6319,1
2800,4965,1
2800,8733,1
2800,897,1
2800,7487,1
2800,8805,1
3253,1354,1
3253,7357,1
3253,7485,1
3253,7288,0
3253,2879,0
3253,8652,0
3253,8656,1
3253,5069,0
3253,111,1
3253,921,1
3253,4687,1
3253,8664,0
3253,204,0
3253,8875,1
3253,8977,1
3253,8005,1
3253,3784,1
3253,1629,1
3253,3137,1
3253,8278,1
3253,5258,1
3253,4951,1
3253,1849,1
3253,2593,1
3253,7515,1
3253,2633,1
3253,3649,1
3253,5820,1
3253,9880,1
3253,6836,1
3253,5709,1
3253,3478,1
3253,3845,1
3253,8917,1
3253,2601,1
3253,4093,1
3253,9906,1
3253,8736,1
3253,8287,1
3253,4366,1
3253,6230,1
3253,3628,1
3253,1506,1
3253,2166,1
3253,6224,1
3253,2600,1
3253,55,1
3253,3913,1
3253,1072,1
3253,2950,1
3253,1019,0
3253,9916,1
3253,1153,1
3253,8335,1
3253,922,1
3253,595,1
3253,924,0
3253,7641,1
3253,5457,1
3253,1737,1
3253,9647,0
3253,6888,1
3253,7517,0
3253,4543,1
3253,4965,1
3253,4788,1
3253,8733,1
3253,1777,0
3253,6319,1
3253,897,0
3253,8805,1
3253,7934,1
3253,7487,0
3253,9553,1
3253,6719,1
3253,5970,1
3253,3416,1
3253,1715,1
3253,1833,1
3253,7362,1
3253,8701,1
3253,4277,0
3253,4117,1
3253,1706,1
3253,2550,1
3253,2655,0
3253,9003,1
3790,1354,1
3790,7357,1
3790,7485,1
3790,7288,1
3790,2879,1
3790,8652,1
3790,8656,1
3790,5069,1
3790,111,0
3790,921,1
3790,4687,1
3790,8664,1
3790,204,1
3790,8875,1
3790,8977,1
3790,8005,1
3790,3784,1
3790,1629,1
3790,3137,1
3790,8278,1
3790,5258,1
3790,4951,1
3790,1849,1
3790,2593,1
3790,7515,1
3790,2633,1
3790,3649,1
3790,5820,0
3790,9880,1
3790,6836,1
3790,5709,1
3790,3478,1
3790,3845,1
3790,8917,1
3790,2601,1
3790,4093,1
3790,9906,1
3790,8736,1
3790,8287,1
3790,4366,1
3790,6230,1
3790,3628,1
3790,1506,1
3790,2166,0
3790,6224,1
3790,2600,1
3790,55,0
3790,3913,1
3790,1072,1
3790,2950,1
3790,1019,1
3790,9916,1
3790,1153,1
3790,8335,1
3790,922,1
3790,595,1
3790,924,1
3790,7641,1
3790,5457,1
3790,1737,1
3790,9647,1
3790,6888,1
3790,7517,0
3790,4543,1
3790,4965,1
3790,4788,1
3790,8733,1
3790,1777,1
3790,6319,1
3790,897,1
3790,8805,1
3790,7934,1
3790,7487,1
3790,9553,1
3790,6719,1
3790,5970,1
3790,3416,1
3790,1715,1
3790,1833,1
3790,7362,0
3790,8701,1
3790,4277,1
3790,4117,1
3790,1706,0
3790,2550,0
3790,2655,0
3790,9003,1
3706,7515,1
3706,6319,1
3706,8733,1
3706,8977,1
3706,922,1
3706,5457,1
3706,8005,1
3706,204,1
3706,921,0
3706,4687,1
3706,7288,1
3706,1354,0
3706,1153,1
3706,595,1
3706,2950,1
3706,1019,1
3706,8335,0
3706,1777,1
3706,3628,1
3706,3913,1
3706,8875,1
3706,6224,1
3706,3784,1
3706,55,0
3706,4965,1
3706,1506,1
3706,1833,1
3706,4788,1
3706,5970,1
3706,4277,1
3706,2633,1
3706,8701,0
3706,3416,1
3706,1072,1
3706,2166,1
3706,897,0
3706,7934,1
3706,1715,1
3706,7362,1
3706,8805,0
3706,2655,1
3706,9906,1
3706,2601,0
3706,8656,1
3706,8917,1
3706,7641,1
3706,3478,0
3706,6836,1
3706,4117,1
3706,1706,1
3706,2550,1
3706,9003,1
3706,3845,1
3706,5820,1
3706,9880,1
3706,9553,1
3706,6719,1
3706,8652,1
3706,1629,0
3706,5069,1
3706,2600,1
3706,9647,1
3706,4093,1
3706,111,1
3706,9916,1
3706,8664,1
3706,2879,1
3706,1737,1
3706,4543,1
3706,6888,1
