meetingID,moduleID
2272,0
914,0
1749,1
8,1
2351,1
1962,1
763,1
1794,1
2413,1
1017,1
3160,1
1319,1
221,2
3281,2
1072,3
749,3
28,3
2156,4
456,4
839,5
651,5
14,6
960,6
3730,6
1860,7
1639,7
936,7
1522,7
35,8
854,8
673,8
2235,9
967,9
329,9
2140,9
3107,9
3367,9
2652,9
966,9
2116,10
1300,10
3620,10
2305,10
230,10
2873,10
1189,10
36,11
3330,11
186,12
3780,12
1331,12
517,12
2533,12
3356,12
3814,12
1891,12
2418,12
124,12
3502,12
1640,13
1688,14
1877,14
3902,14
3733,15
3055,15
288,16
1295,17
849,17
3240,18
3890,18
1609,18
1638,19
3818,19
2798,21
2299,21
2680,22
1404,22
246,22
2504,22
3441,23
3874,23
3602,24
1187,24
336,25
3734,25
400,25
395,25
666,25
3251,25
1257,25
2233,25
3049,25
2200,25
1669,25
1060,26
3670,26
233,26
2253,26
3412,28
740,28
990,28
1339,28
1052,28
464,28
3512,28
787,28
1920,29
1618,29
475,30
3524,30
2828,30
2594,30
1283,30
744,31
2916,31
996,32
1906,32
780,33
175,33
747,33
715,33
3534,33
2258,33
1009,33
3935,33
1120,33
1237,35
3472,35
726,35
685,36
2761,36
414,36
3781,36
827,36
2191,36
621,36
2865,36
76,36
3063,36
3547,36
3586,36
1066,36
1338,37
813,37
3314,38
801,38
3368,38
3469,38
2768,38
1028,38
1662,38
2348,39
309,40
2840,42
792,42
253,42
2903,42
125,42
3331,42
251,42
3762,42
2900,42
1536,43
2672,43
980,44
2774,45
3249,45
459,45
1284,45
3492,45
2705,45
994,45
2899,45
1554,46
1099,46
3875,46
1869,46
412,46
1313,46
3841,46
2860,46
2361,47
1271,48
2479,48
3696,48
279,48
2829,49
2785,49
3955,49
2383,49
390,50
907,50
3929,50
762,50
1399,50
3673,50
1513,50
3551,50
1759,50
1714,50
3040,51
895,51
1497,51
1247,52
2132,53
257,53
3312,54
18,54
1561,54
3280,54
2687,54
3683,55
3563,55
3009,55
2405,55
2694,55
3793,55
3946,55
1393,56
2681,58
1970,58
3445,58
2673,58
3523,60
2319,60
3966,61
1690,61
1291,61
1771,62
3784,62
2190,63
3409,63
2864,63
139,65
154,65
1396,65
3097,65
2454,65
531,65
2666,65
3226,65
1508,65
1026,66
3430,66
826,66
2027,66
1673,66
1377,67
3538,67
1626,67
85,67
595,67
3754,67
3674,67
3612,68
2497,68
1213,68
369,68
3174,69
636,69
2106,69
1174,69
1324,70
2946,70
442,70
2367,70
2939,70
389,70
3626,70
2122,70
2071,70
1603,70
1107,71
2633,71
2499,71
2284,71
1233,71
933,71
2552,71
2055,71
3305,71
2626,71
86,72
57,72
1185,73
3727,73
1746,74
2215,74
2168,74
2985,74
648,74
3595,74
3608,74
3282,74
3410,74
3417,74
1588,74
2546,74
883,74
2529,74
1938,74
1390,74
1203,74
2577,75
1534,75
733,75
1335,76
3230,76
74,76
934,76
676,77
528,78
2924,78
1769,78
3296,78
3989,78
78,78
959,78
931,78
3697,78
1787,78
2535,78
904,78
3984,78
2385,79
2850,79
2277,80
156,81
3018,81
304,81
559,81
2927,81
2920,81
3053,82
373,83
3680,83
3326,83
2993,83
3826,83
1599,83
523,83
906,83
3376,83
1123,83
3550,83
1352,84
2369,84
1565,85
1459,86
3817,86
1568,86
2158,87
1176,88
799,88
423,88
2274,88
3988,88
3792,88
1012,88
2747,88
3640,89
1359,89
3070,89
2765,90
3703,91
3095,91
3646,92
3847,93
2061,94
2062,94
145,94
1073,94
1081,94
42,94
199,94
995,94
961,94
2994,94
3400,94
3714,94
3460,94
1825,94
1866,94
82,94
1507,95
1069,95
1079,96
1912,96
3742,97
1316,97
911,99
784,99
1553,100
1700,101
2416,101
1367,101
1277,101
585,101
2621,101
1757,101
434,101
2703,101
100,101
3328,101
2323,101
2874,101
3892,102
2414,102
535,102
1144,103
578,103
3020,104
1535,104
1422,105
1756,105
1468,106
2937,106
2746,106
2683,107
1953,107
2565,107
1870,108
2775,108
2511,108
340,108
915,108
2616,108
2686,108
2044,108
613,109
898,109
1961,109
1044,109
2602,110
3191,110
3402,110
3267,111
757,112
2202,113
3863,113
730,113
3879,115
473,115
2592,117
216,117
2128,117
2142,117
2604,117
178,118
611,118
2989,118
2767,118
506,118
941,118
2457,118
2879,118
1594,118
1947,118
105,118
2384,118
1636,119
3710,119
2300,120
1077,120
510,120
75,120
445,120
3508,120
1457,121
1140,121
1329,122
1255,123
2346,123
2757,123
1037,123
2947,123
2476,123
819,123
3637,123
2727,124
2777,125
3016,125
3241,125
3910,125
275,126
2153,126
413,127
649,127
633,127
1435,128
913,128
3800,128
3,129
2019,129
3381,130
1613,130
335,131
520,131
541,131
3269,131
2051,131
1063,131
370,131
3690,131
45,131
3669,131
2285,132
2456,132
1834,133
3432,133
2260,133
1301,134
1644,134
2378,135
2243,135
1327,135
3721,136
2309,137
2494,137
1387,137
2554,137
2525,137
201,137
1278,137
1136,137
1086,137
630,138
177,138
54,138
2440,138
3215,138
2161,138
2308,138
1326,139
2591,139
2515,139
2620,140
1477,140
1380,140
2786,140
516,140
