meetingID,recordingLink
1,http://www.learning.com/1iz0fpoarluh
2,http://www.learning.com/31x764bwbxkl
3,http://www.learning.com/hgv5p57igxie
4,http://www.learning.com/om4qefsu4xtn
5,http://www.learning.com/zorfk902m2g8
6,http://www.learning.com/ete0xx9i75ad
7,http://www.learning.com/pr4ahydna12j
8,http://www.learning.com/ii5fce41482j
9,http://www.learning.com/vl16tjfactl5
10,http://www.learning.com/lzensk62iwc0
11,http://www.learning.com/bj8zian1cnp1
12,http://www.learning.com/hokmmkbg1o65
13,http://www.learning.com/4ms7gu87r3pq
14,http://www.learning.com/spoy8oj4ty6p
15,http://www.learning.com/mhsdq7yj7vqg
16,http://www.learning.com/hwuqqiwnrvtm
17,http://www.learning.com/n1k4of38uxug
18,http://www.learning.com/s024kcnqaqqm
19,http://www.learning.com/eapeolzh884g
20,http://www.learning.com/kb7dazck5798
21,http://www.learning.com/el5viyteviwu
22,http://www.learning.com/7v7cj4slun8f
23,http://www.learning.com/nu92zh10ppnw
24,http://www.learning.com/b7f71kh6dleb
25,http://www.learning.com/lrohrzecgw15
26,http://www.learning.com/wijkxro1ny2h
27,http://www.learning.com/qw61y5kjzdnx
28,http://www.learning.com/ecxggtxmf9om
29,http://www.learning.com/gvwd3xl1vfxm
30,http://www.learning.com/q9obi8e5kek1
31,http://www.learning.com/ww0oiynm3own
32,http://www.learning.com/49wkmhvfqalm
33,http://www.learning.com/bhvsuv2zp8yp
34,http://www.learning.com/2e8r5fbqzkjk
35,http://www.learning.com/gyr0kl4a0v64
36,http://www.learning.com/hf8jv05ctj9h
37,http://www.learning.com/r7xrfyt92dvj
38,http://www.learning.com/nq9qcgou7cm5
39,http://www.learning.com/oige3zu584o8
40,http://www.learning.com/jes0tjvasaa7
41,http://www.learning.com/kggw65q4bka3
42,http://www.learning.com/dkxr5o0q94w4
43,http://www.learning.com/e9jg4u68egpy
44,http://www.learning.com/klj7xbvgj4s5
45,http://www.learning.com/mrwdv9dusjw4
46,http://www.learning.com/o32tr6e1mc1s
47,http://www.learning.com/1hrluxip1f5o
48,http://www.learning.com/yobgz660agix
49,http://www.learning.com/vqy1sitxqaqo
50,http://www.learning.com/f9xtjk7gdip8
51,http://www.learning.com/h3272ckg9x5d
52,http://www.learning.com/n0dqqbfp9dgq
53,http://www.learning.com/iukubvd6vby5
54,http://www.learning.com/afu8gwi2syw2
55,http://www.learning.com/oxgw8mnggx34
56,http://www.learning.com/2z1epco91koq
57,http://www.learning.com/3vsi3tb8wtpv
58,http://www.learning.com/1vewueeppx1b
59,http://www.learning.com/qtgq2fb60eve
60,http://www.learning.com/17ovexwridbh
61,http://www.learning.com/1nnmlaok69cp
62,http://www.learning.com/ctn82s1qci6l
63,http://www.learning.com/1wyku3yfrhjp
64,http://www.learning.com/cceywegupute
65,http://www.learning.com/o5f6rny7t981
66,http://www.learning.com/l3a1hrqjps2l
