translatorID,languageID
511,34
511,53
918,8
918,53
918,22
345,45
900,13
867,25
228,24
228,11
110,64
110,34
110,60
110,5
308,59
308,47
527,35
285,65
285,35
285,54
680,59
680,36
680,47
871,28
871,54
454,66
454,10
454,14
597,33
597,42
597,11
597,52
189,1
189,42
189,37
189,46
371,64
371,66
371,22
371,31
782,50
782,12
416,61
416,43
416,53
818,32
818,41
818,36
818,37
479,47
479,13
479,22
479,14
65,9
749,32
749,2
749,43
749,29
727,17
372,40
372,37
372,30
152,44
152,29
318,24
318,25
318,57
318,41
255,53
755,8
755,49
755,17
381,65
381,19
381,6
425,18
425,67
425,52
425,6
307,8
264,56
264,25
264,51
264,13
25,52
379,44
548,65
548,58
548,44
548,4
54,27
54,21
488,29
500,4
500,15
17,43
17,11
17,53
17,22
564,48
92,56
92,18
92,11
92,53
895,64
895,17
895,7
449,50
385,8
385,33
385,28
385,5
699,48
859,67
859,47
967,9
967,50
967,19
967,39
880,11
880,30
880,55
503,64
503,61
503,14
872,25
872,9
872,17
872,7
940,41
940,2
940,51
940,21
442,31
442,23
668,37
359,51
359,14
359,47
657,37
127,32
127,38
421,51
421,60
421,46
421,6
636,64
439,16
439,19
558,36
558,13
558,62
866,51
866,47
324,51
324,43
324,28
324,7
443,1
443,12
443,15
443,39
766,47
775,65
775,2
775,66
961,13
961,51
961,20
961,21
361,40
361,67
361,19
361,44
430,68
481,3
793,8
793,18
793,67
793,54
221,16
221,9
221,47
788,20
788,45
561,58
231,25
231,19
231,4
231,61
621,32
621,31
621,7
621,47
598,10
598,27
598,20
598,6
973,59
973,43
973,44
973,14
499,18
499,43
499,14
499,55
374,53
230,35
230,28
733,1
733,58
733,7
335,9
335,14
542,56
542,36
542,61
542,63
924,1
858,32
858,43
703,62
834,9
834,26
834,31
834,47
987,64
987,18
756,10
178,48
178,49
645,8
645,34
645,10
711,41
711,47
711,22
711,31
911,25
525,57
525,66
525,68
226,18
226,29
319,2
319,7
154,40
154,33
154,2
154,8
594,29
568,30
348,8
348,34
348,14
