instructorID,meetingLink,recordingLink,description,translatorID,languageID
389,http://www.learning.com/1mvvcx9tkz9y,https://flores-young.com/,"Finish close ok service set key chair. Third different yourself heavy senior.
Cultural board hold social behavior parent off everyone.",285,65
649,http://www.learning.com/mda48gebb17x,http://www.lyons-valencia.info/,"Very seat ready site. Office raise draw by sign tax. Young too between page.
Everyone great hit along remain. Scientist only arrive direction culture answer by.",900,13
590,http://www.learning.com/qnn9ubmqu919,http://smith-west.net/,"Drive leader image sign help human own. Major trip law himself.
Indeed program form now daughter argue suffer. Draw person would fly set. Return win behavior them rest sing husband PM.",439,16
251,http://www.learning.com/6xk5iwqm2ikj,http://www.deleon-johnson.org/,Factor line especially huge organization up. See employee mean sometimes determine standard serve.,318,57
747,http://www.learning.com/dh7jkgwqs5zz,http://fuller.com/,"Police analysis former so radio. Walk forget maintain sport. Test close in could.
Floor person value participant particularly positive east. Already hit where leave.",345,45
581,http://www.learning.com/5w96f4ymu2cz,http://martinez-watkins.biz/,"Instead throughout trial. Deal southern term.
Young father somebody heavy town. Lose evidence hand century energy. These describe who.",564,48
392,http://www.learning.com/ge11pztnnslu,https://greene-davenport.info/,"Close image management environmental. Sound mind reduce take third. System situation toward interesting assume seat.
Tough current exist then account degree. Provide life hot control many.",597,42
612,http://www.learning.com/i4ljlntnsf2j,https://chambers-erickson.com/,"Live somebody large phone. Fine could two though onto sense.
Coach customer business lot central. White with ago day figure federal get. Method allow drive girl act west imagine.",228,11
831,http://www.learning.com/jeradc12yqoj,https://bruce.net/,"Herself window time could provide. Maintain success feel. Believe fine figure here tough.
Offer sign relationship support everybody. Research particularly threat allow.",511,34
620,http://www.learning.com/mfp8fyk6dwk6,https://gordon-murphy.com/,"Contain adult very anyone order. Control her pull. Run our final final or method lose.
Tell serve reveal professional. Thus analysis old benefit health I.",749,2
127,http://www.learning.com/fejlqrixuqo2,https://taylor.net/,"Hotel security rule book form. Recent team letter.
Degree shake almost issue need mean. Who type believe decade. Every put soon coach.",152,44
796,http://www.learning.com/03seosrmlf34,http://www.jenkins.com/,"Money debate last head new knowledge. Leave term total go within.
Cup produce food think court agent allow. Beat window exactly really than public. Beautiful baby thank.",372,40
109,http://www.learning.com/7gjrkc99wc22,https://phillips-white.com/,"Certain wear conference next baby. Bag something attorney last big possible seven.
Into beat enough tax drug laugh. Second car million yeah.",597,42
124,http://www.learning.com/zkfybak21xkb,http://www.wilson.com/,Now clearly other however. Material feeling performance maintain check class raise. Either lose drop talk table none him. Can animal read last final.,110,60
447,http://www.learning.com/ifl8mx30v7dr,http://www.sanchez.com/,Only view million receive pass tough window. Foot up now process. Consumer value human color.,308,59
908,http://www.learning.com/3cpwfa5gk29r,https://jackson.com/,"Guy or institution tough. On how teacher moment set.
Nearly story movie popular reveal maintain coach. Necessary as particular and.
Herself be above.",372,30
356,http://www.learning.com/hw4o4s7h44c4,https://sanders.com/,Single leader senior test. Article leader and effect food trip. Century check specific whole think cost.,381,19
923,http://www.learning.com/261vgp6wjhig,http://www.phillips-ewing.info/,Response just program south. Really offer example condition much.,425,18
827,http://www.learning.com/ztusr6x99whv,http://www.lara.biz/,Usually discussion experience what. Test free money blue foot receive. Explain poor way partner example in.,548,4
119,http://www.learning.com/e11wqgn6acm0,https://shaw-miller.com/,Machine Congress truth standard throw subject. Scene church but thousand push heavy research enjoy.,558,62
721,http://www.learning.com/jz2r24ga6vob,http://nelson-merritt.net/,"Tv listen language upon development. Hard free power father space special song. Common air the think.
Take your husband former keep gas little. Street which sure old.",381,19
142,http://www.learning.com/bv16693nzod2,http://www.colon.com/,"Cold no performance marriage bring.
Cut pass fish change win. Feeling anyone take.
Bill Mrs camera develop. Including most story position statement city staff laugh.",308,59
197,http://www.learning.com/vjee094dh6o4,https://www.cannon.com/,War green wife home down impact line. Become single tell develop develop seat attention.,818,32
360,http://www.learning.com/9felu7pgpqfa,https://wheeler-white.com/,"Last degree enough recent. Fact type exactly major.
Figure material beat gas remember note job. Hospital fish me why oil would. Responsibility fear dog child could turn.
If near expect war building.",548,58
502,http://www.learning.com/cbkkbwa0kf7b,https://smith.net/,"Wait agency owner speech. Task night standard large safe add like.
Question participant class others black. Feeling of international list.",372,30
799,http://www.learning.com/0z8if0qk0n72,http://www.phillips.com/,"Class type despite never.
Degree performance certain sea sure happy. Right weight time. Upon after usually that down career here.",54,27
699,http://www.learning.com/8zorxbobqb6l,https://hughes.org/,"Inside own kind suddenly social. Give include house less range maybe speak production.
Close force debate network. Computer oil explain child commercial.",372,40
963,http://www.learning.com/amm8si0kxpka,https://mclaughlin.com/,"Pass surface local sister.
Agency lot peace. Toward success girl already chance star. Drug when remember guess.
Become coach successful free radio at natural. Big civil indicate very.",680,36
478,http://www.learning.com/zmw30tfhw6rn,https://www.lawrence-fields.net/,Hundred month physical shoulder maybe mouth. Successful raise say sell ok. Or kitchen hospital many meet.,755,49
337,http://www.learning.com/dek2w8vlebtg,http://sharp-kirk.com/,"Now boy during history large. Possible generation mean sing. Manager cause dark class.
Enter because meeting sense property detail sometimes. Natural reveal tree indeed.",782,12
257,http://www.learning.com/i8xe6xnxs2vq,http://www.myers-fernandez.com/,Ball budget add Mr window start month. Order over maybe increase. Mrs TV firm near.,527,35
283,http://www.learning.com/v4pa8jqyn1ib,http://www.mcgee.com/,"Even family fact business morning travel.
Standard thousand old foreign. Agreement become newspaper gun tax determine. Apply it seek small people long.",871,28
539,http://www.learning.com/7c99y4dxl36o,http://graham-yoder.com/,Standard citizen end position I yet. Lead oil rather strategy. Bill late capital system fly bar prove.,318,57
634,http://www.learning.com/79w5meg0ha6x,http://www.zimmerman-ortega.com/,"Hundred us lose task. Future tough reach receive everybody model form. Cover catch apply when run serve by. Expert his pick door trial eat green.
Social it four despite wait check.",371,31
631,http://www.learning.com/tsz9xlb5erkt,https://potter.info/,"Left newspaper range in item. Leg stay win sea house culture. Nearly discuss stay friend.
Pretty real medical move purpose article. Wear us hundred.",442,23
694,http://www.learning.com/a8uduye4gp2x,http://anderson.com/,Light successful discuss author perform. Stand professional vote face sport country. Gun writer or not single black main.,430,68
90,http://www.learning.com/v82icivv5782,https://www.winters-sexton.com/,"Side away expect red language usually continue. Suggest recent kitchen American.
Owner doctor politics back send. Mrs give others trade. Meet take idea national voice.",454,14
136,http://www.learning.com/genpxpgptkyp,http://www.mullins.com/,National fine college three contain everybody must. Think international dream city cup. Store than order.,152,44
379,http://www.learning.com/81eodkn5t730,https://www.gould-howard.com/,"Full begin clearly able. Improve operation state right care because. South office include treatment adult they work.
Large building behind employee. Agency like difficult myself hour blood.",511,53
500,http://www.learning.com/bbb9rxgpf2aq,http://www.parker.com/,"Ever paper for exist.
Market issue plant ago energy history reflect. Small hold certain note service plan expect. Home white both bring spring consumer.",755,49
501,http://www.learning.com/fmld0i59egao,http://rodriguez-house.com/,Congress other like case himself. Person ability data president trial prepare. Expert type group prepare employee fine.,755,49
476,http://www.learning.com/pgba7vbqr3ke,http://www.cummings.com/,Challenge situation identify as successful. But likely wind white. Director mother eye party.,597,52
895,http://www.learning.com/55qy0zzanoii,http://carpenter.com/,Trip manage number senior born contain. View little him scientist after spend. Parent quality less inside something town character.,318,57
591,http://www.learning.com/op5ncl37c8b6,https://www.brown.biz/,"Similar area everybody good cover decide. Claim memory trade window.
Yard thousand century past item hair. Attack learn purpose message number both.",454,66
453,http://www.learning.com/vjwoe2yqd5tb,https://davila-perry.biz/,Actually art glass war performance. Miss goal food born service always. Action remain each appear.,425,18
868,http://www.learning.com/mozg5aqcwwwi,https://terry.com/,"Data my authority police open. Raise likely least contain move. Affect onto three daughter him.
Only information never exist floor. Several office brother clearly.",454,14
